pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,12.14926899999955,13.132613600000695,13.132613600000695,13.132613600000695,13.132613600000695,13.14913449999949,14.132756700000755,14.132756700000755,x,1,7.94266990000142,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,0,1,1,1,,,,,22.098960799999986,23.100102500000503,23.100102500000503,23.100102500000503,23.100102500000503,23.100102500000503,24.099352900000667,24.099352900000667,v,1,0.9278470000008383,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,0,2,2,2,,,,,25.049568099999306,26.051381799999945,26.051381799999945,26.051381799999945,26.051381799999945,26.051381799999945,27.049287199999526,27.049287199999526,c,1,3.075573899999654,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,0,3,3,3,,,,,30.14851389999967,31.13343039999927,31.13343039999927,31.13343039999927,31.13343039999927,31.149637200000143,32.14888190000056,32.14888190000056,z,1,0.8062524000015401,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,1,0,4,0,,,,,32.98210409999956,33.982913399999234,33.982913399999234,33.982913399999234,33.982913399999234,33.982913399999234,34.982435399999304,34.982435399999304,x,1,0.6582063000005292,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,1,1,5,1,,,,,35.665407599999526,36.66576179999902,36.66576179999902,36.66576179999902,36.66576179999902,36.66576179999902,37.66579669999919,37.66579669999919,v,1,0.7020479000002524,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,1,2,6,2,,,,,38.39896260000023,39.39921019999929,39.39921019999929,39.39921019999929,39.39921019999929,39.39921019999929,40.39912659999936,40.39912659999936,c,1,0.7613643000004231,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,1,3,7,3,,,,,41.18269750000036,42.18281500000012,42.18281500000012,42.18281500000012,42.18281500000012,42.18281500000012,43.182492800000546,43.182492800000546,z,1,2.0784101000008377,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,2,0,8,0,,,,,45.282437600000776,46.286039399999936,46.286039399999936,46.286039399999936,46.286039399999936,46.286039399999936,47.28231330000017,47.28231330000017,x,1,0.6652343999994628,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,2,1,9,1,,,,,47.965297000000646,48.96604160000061,48.96604160000061,48.96604160000061,48.96604160000061,48.96604160000061,49.965542100000675,49.965542100000675,v,1,0.6939523000000918,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,2,2,10,2,,,,,50.68233080000027,51.682447299999694,51.682447299999694,51.682447299999694,51.682447299999694,51.682447299999694,52.682270600000265,52.682270600000265,c,1,0.8171872000002622,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,2,3,11,3,,,,,53.51577059999909,54.515817999999854,54.515817999999854,54.515817999999854,54.515817999999854,54.515817999999854,55.515443199999936,55.515443199999936,z,1,0.8484626000008575,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,3,0,12,0,,,,,56.38549880000028,57.38239550000071,57.38239550000071,57.38239550000071,57.38239550000071,57.39887610000005,58.38190360000044,58.38190360000044,x,1,0.5732287999999244,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,3,1,13,1,,,,,58.98187060000055,59.9824735000002,59.9824735000002,59.9824735000002,59.9824735000002,59.9824735000002,60.981751400000576,60.981751400000576,v,1,0.6246615999989444,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,3,2,14,2,,,,,61.63180769999963,62.63269249999939,62.63269249999939,62.63269249999939,62.63269249999939,62.63269249999939,63.63184170000022,63.63184170000022,c,1,0.7716856999995798,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,3,3,15,3,,,,,64.43160290000014,65.43242180000016,65.43242180000016,65.43242180000016,65.43242180000016,65.43242180000016,66.43228350000027,66.43228350000027,z,1,0.6232691999994131,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,4,0,16,0,,,,,67.08229050000045,68.08235009999953,68.08235009999953,68.08235009999953,68.08235009999953,68.08235009999953,69.08144119999997,69.08144119999997,x,1,0.6494171000013012,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,4,1,17,1,,,,,69.7480900999999,70.74918359999901,70.74918359999901,70.74918359999901,70.74918359999901,70.74918359999901,71.74865279999904,71.74865279999904,v,1,0.5797729000005347,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
